"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Ajay Maken";"New Delhi";"40.33%";"0";"0";"0";"Delhi";"Indian National Congress";"Elected";"18 May 09";"In office";"";"50";"Male";"Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajit Singh";"Baghpat";"47.78%";"2";"0";"0";"Uttar Pradesh";"Rashtriya Lok Dal";"Elected";"18 May 09";"In office";"";"75";"Male";"Post Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Akhilesh Yadav";"Kannauj";"57.70%";"4";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"02/05/2012";"";"40";"Male";"Post Graduate";"15th";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"A.K.S. Vijayan";"Nagapattinam";"59.00%";"31";"440";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"52";"Male";"Graduate";"15th";"3";"19";"0";"2";"5";"2";"0";"0";"0";"3";"24";"27";"6";"10";"19";"23";"7";"26";"19";"9";"8";"24";"8";"6";"9";"12";"7";"15";"2";"21";"0";"14";"10";"14";"1";"5";"2";"7";"3";"8";"13";"9";"2";"5";"8";"7";"15";"5";"2";"10";"3";"6";"0";"2";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amarnath Pradhan";"Sambalpur";"83.75%";"26";"187";"0";"Orissa";"Indian National Congress";"Elected";"18 May 09";"In office";"";"55";"Male";"Graduate";"15th";"1";"22";"1";"0";"2";"0";"0";"0";"0";"0";"12";"11";"0";"1";"12";"17";"0";"8";"7";"6";"6";"5";"8";"3";"3";"4";"1";"11";"1";"9";"0";"2";"6";"9";"1";"1";"4";"0";"8";"0";"4";"4";"1";"1";"3";"2";"3";"0";"4";"4";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ambica Banerjee";"Howrah";"62.43%";"3";"154";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"25/04/2013";"";"85";"Male";"Graduate";"15th";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"11";"12";"0";"0";"3";"7";"1";"4";"4";"15";"5";"14";"6";"6";"1";"1";"3";"3";"2";"2";"1";"5";"4";"6";"2";"0";"3";"4";"0";"1";"0";"0";"1";"2";"1";"6";"3";"2";"1";"3";"3";"2";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anand Prakash Paranjpe";"Kalyan";"69.25%";"11";"820";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"40";"Male";"Post Graduate";"15th";"2";"1";"0";"0";"6";"0";"0";"0";"2";"2";"79";"62";"16";"9";"40";"45";"11";"45";"25";"33";"24";"30";"34";"9";"24";"19";"2";"31";"2";"19";"0";"40";"20";"44";"1";"12";"19";"11";"4";"5";"4";"18";"7";"6";"15";"10";"7";"4";"4";"10";"9";"1";"0";"1";"0";"1";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anandrao Adsul";"Amravati";"72.06%";"35";"1266";"3";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"66";"Male";"Graduate";"15th";"6";"0";"6";"8";"2";"1";"7";"1";"4";"8";"78";"112";"7";"3";"57";"112";"16";"79";"71";"34";"28";"43";"54";"27";"36";"29";"12";"49";"4";"73";"1";"52";"47";"41";"1";"10";"20";"11";"5";"23";"6";"5";"6";"2";"9";"18";"31";"1";"8";"12";"7";"2";"0";"1";"5";"8";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anant Gangaram Geete";"Raigad";"73.12%";"55";"10";"1";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"62";"Male";"Matric";"15th";"4";"0";"13";"1";"0";"3";"17";"1";"11";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0"
"Anantha Venkatarami Reddy";"Anantapur";"74.75%";"14";"552";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"57";"Male";"Post Graduate";"15th";"1";"9";"0";"0";"4";"0";"0";"0";"0";"1";"31";"55";"2";"5";"27";"21";"6";"32";"48";"22";"10";"20";"7";"8";"17";"16";"7";"23";"14";"14";"1";"7";"23";"21";"7";"16";"8";"14";"5";"3";"5";"2";"9";"1";"7";"8";"12";"1";"3";"1";"3";"1";"0";"1";"0";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ananth Kumar";"Bangalore South";"84.06%";"23";"234";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"54";"Male";"Graduate";"15th";"11";"0";"3";"2";"1";"0";"1";"0";"4";"2";"20";"12";"1";"4";"7";"15";"0";"15";"14";"10";"10";"5";"8";"6";"11";"8";"1";"5";"0";"4";"2";"17";"4";"4";"0";"1";"3";"2";"0";"1";"5";"4";"3";"2";"3";"3";"1";"7";"4";"0";"1";"1";"0";"3";"1";"2";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anant Kumar Hegde";"Uttara Kannada";"72.06%";"14";"574";"2";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"45";"Male";"Inter/ Higher Secondary";"15th";"4";"2";"3";"0";"0";"0";"2";"0";"2";"0";"67";"13";"3";"3";"13";"9";"1";"19";"41";"3";"37";"35";"11";"19";"3";"23";"1";"18";"4";"61";"0";"20";"15";"46";"0";"14";"20";"6";"3";"1";"1";"3";"3";"3";"11";"13";"8";"1";"2";"12";"2";"1";"0";"1";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Andimuthu Raja";"Nilgiris";"42.55%";"0";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"50";"Male";"Post Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anirudhan Sampath";"Attingal";"77.31%";"93";"400";"1";"Kerala";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"51";"Male";"Post Graduate";"15th";"39";"18";"15";"5";"5";"1";"3";"1";"3";"0";"18";"30";"1";"0";"26";"21";"0";"37";"20";"20";"14";"17";"10";"8";"17";"6";"0";"15";"0";"6";"3";"13";"7";"9";"6";"8";"8";"3";"1";"13";"6";"10";"4";"4";"5";"8";"5";"1";"6";"4";"4";"1";"0";"0";"0";"0";"2";"3";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Annu Tandon";"Unnao";"92.94%";"30";"307";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"56";"Female";"Graduate";"15th";"14";"0";"2";"2";"3";"0";"3";"0";"6";"2";"9";"21";"3";"4";"7";"13";"2";"10";"22";"8";"19";"13";"17";"4";"4";"5";"6";"10";"0";"0";"1";"4";"15";"8";"0";"3";"6";"3";"0";"6";"11";"1";"1";"9";"2";"7";"7";"6";"5";"1";"5";"3";"0";"1";"10";"6";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anto Antony";"Pathanamthitta";"86.81%";"79";"618";"0";"Kerala";"Indian National Congress";"Elected";"18 May 09";"In office";"";"56";"Male";"Graduate";"15th";"31";"30";"5";"4";"3";"0";"2";"0";"2";"0";"43";"45";"6";"0";"29";"31";"5";"29";"56";"19";"16";"28";"14";"16";"9";"14";"6";"10";"1";"25";"2";"20";"13";"45";"17";"12";"14";"5";"1";"6";"3";"10";"8";"10";"4";"3";"8";"2";"7";"1";"2";"3";"0";"9";"3";"7";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Anup Kumar Saha";"Bardhaman Purba";"87.25%";"21";"101";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"58";"Male";"Doctorate";"15th";"12";"0";"5";"1";"0";"0";"2";"1";"0";"0";"5";"27";"0";"0";"4";"6";"1";"2";"4";"4";"4";"3";"1";"5";"1";"5";"1";"1";"0";"6";"0";"2";"1";"2";"0";"0";"5";"2";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anurag Singh Thakur";"Hamirpur";"82.38%";"72";"612";"1";"Himachal Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"39";"Male";"Graduate";"15th";"22";"26";"5";"2";"6";"2";"4";"1";"1";"3";"44";"43";"1";"3";"36";"29";"5";"40";"43";"19";"20";"16";"18";"13";"37";"9";"9";"22";"1";"19";"0";"33";"14";"20";"3";"12";"3";"11";"1";"5";"8";"1";"7";"2";"9";"1";"19";"4";"7";"1";"4";"1";"1";"3";"2";"4";"2";"4";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Arjun Charan Sethi";"Bhadrak";"83.94%";"49";"199";"0";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"72";"Male";"Post Graduate";"15th";"10";"6";"10";"1";"5";"1";"7";"0";"2";"5";"10";"9";"0";"1";"16";"14";"1";"7";"5";"4";"3";"8";"8";"5";"5";"14";"1";"11";"1";"0";"1";"3";"8";"5";"2";"4";"3";"0";"0";"3";"0";"4";"4";"2";"4";"3";"3";"1";"7";"5";"0";"0";"0";"0";"2";"6";"1";"0";"1";"0";"1";"2";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
"Arjun Munda";"Jamshedpur";"48.78%";"3";"152";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"18 May 09";"26/02/2011";"";"45";"Male";"Graduate";"15th";"1";"0";"1";"1";"0";"0";"0";"0";"0";"11";"11";"9";"1";"1";"8";"8";"1";"2";"7";"3";"5";"4";"5";"7";"3";"6";"4";"7";"0";"2";"0";"2";"8";"6";"0";"1";"1";"0";"2";"4";"1";"0";"0";"4";"0";"0";"6";"0";"3";"1";"0";"0";"1";"1";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arjun Ram Meghwal";"Bikaner";"98.38%";"430";"749";"20";"Rajasthan";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"60";"Male";"Post Graduate";"15th";"246";"31";"31";"21";"11";"5";"30";"2";"23";"6";"53";"34";"2";"1";"39";"31";"7";"60";"39";"19";"28";"25";"24";"15";"38";"11";"12";"25";"4";"20";"1";"34";"22";"20";"5";"19";"4";"25";"2";"19";"6";"3";"2";"7";"11";"14";"16";"3";"10";"7";"4";"7";"2";"3";"2";"1";"4";"2";"12";"9";"1";"5";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0"
"Arjun Roy";"Sitamarhi";"92.38%";"28";"349";"0";"Bihar";"Janata Dal (United)";"Elected";"18 May 09";"In office";"";"42";"Male";"Doctorate";"15th";"4";"3";"7";"7";"2";"0";"1";"0";"1";"0";"43";"14";"1";"1";"8";"10";"3";"9";"33";"6";"25";"22";"8";"10";"6";"15";"1";"7";"2";"28";"1";"11";"9";"18";"0";"3";"8";"1";"2";"4";"1";"1";"0";"1";"11";"7";"7";"1";"2";"7";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aruna Kumar Vundavalli";"Rajahmundry";"90.44%";"19";"33";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"59";"Male";"Graduate";"15th";"1";"8";"2";"2";"1";"0";"4";"0";"1";"0";"4";"2";"0";"0";"4";"2";"2";"0";"1";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arun Subhashchandra Yadav";"Khandwa";"52.11%";"4";"25";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"40";"Male";"Graduate";"15th";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"3";"1";"1";"0";"1";"0";"0";"0";"6";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arvind Kumar Chaudhary";"Basti";"97.06%";"4";"190";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"49";"Male";"Inter/ Higher Secondary";"15th";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1";"13";"20";"0";"0";"18";"12";"6";"16";"11";"1";"4";"8";"5";"2";"3";"3";"1";"16";"0";"6";"0";"4";"7";"1";"0";"4";"3";"0";"0";"2";"1";"0";"1";"0";"1";"0";"8";"1";"2";"0";"3";"2";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arvind Kumar Sharma";"Karnal";"66.12%";"17";"93";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"50";"Male";"Post Graduate";"15th";"0";"0";"1";"3";"3";"5";"1";"0";"3";"0";"9";"9";"0";"0";"14";"1";"3";"6";"2";"5";"2";"2";"6";"1";"1";"2";"1";"4";"0";"5";"0";"3";"1";"0";"0";"0";"2";"2";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0";"2";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
